cotacaoCompra,dataHoraCotacao
3.2411,2018-02-23 13:08:49.928
3.2345,2018-02-26 13:10:57.912
3.2377,2018-02-27 13:11:48.675
3.2443,2018-02-28 13:03:18.868
3.2614,2018-03-01 13:08:46.872
3.2608,2018-03-02 13:11:44.793
3.2576,2018-03-05 13:05:07.476
3.224,2018-03-06 13:11:55.605
3.2312,2018-03-07 13:04:49.215
3.2512,2018-03-08 13:11:32.961
3.249,2018-03-09 13:03:23.451
3.26,2018-03-12 13:07:43.882
3.2486,2018-03-13 13:11:46.012
3.2578,2018-03-14 13:11:37.391
3.2853,2018-03-15 13:08:48.179
3.2899,2018-03-16 13:14:28.123
3.2905,2018-03-19 13:05:15.219
3.2975,2018-03-20 13:06:10.733
3.2915,2018-03-21 13:08:26.719
3.3027,2018-03-22 13:11:09.36
3.3035,2018-03-23 13:06:01.35
3.3028,2018-03-26 13:09:11.34
3.325,2018-03-27 13:04:04.87
3.3374,2018-03-28 13:07:49.314
3.3232,2018-03-29 13:08:53.155
3.3098,2018-04-02 13:05:44.664
3.3133,2018-04-03 13:06:18.961
3.3532,2018-04-04 13:11:00.623
3.319,2018-04-05 13:04:54.276
3.366,2018-04-06 13:03:40.998
3.3897,2018-04-09 13:07:34.706
3.4189,2018-04-10 13:06:41.132
3.4046,2018-04-11 13:09:34.926
3.3852,2018-04-12 13:08:38.272
3.4099,2018-04-13 13:10:52.009
3.4257,2018-04-16 13:11:36.418
3.4035,2018-04-17 13:08:50.53
3.3838,2018-04-18 13:08:17.142
3.3971,2018-04-19 13:10:38.112
3.4096,2018-04-20 13:11:24.499
3.4415,2018-04-23 13:08:37.681
3.4661,2018-04-24 13:02:44.008
3.5034,2018-04-25 13:10:43.392
3.4971,2018-04-26 13:05:59.455
3.467,2018-04-27 13:04:44.825
3.4805,2018-04-30 13:17:27.325
3.5418,2018-05-02 13:08:57.731
3.5478,2018-05-03 13:07:47.221
3.5302,2018-05-04 13:05:37.947
3.5452,2018-05-07 13:05:39.629
3.5782,2018-05-08 13:06:03.36
3.5937,2018-05-09 13:07:43.791
3.5561,2018-05-10 13:04:45.487
3.571,2018-05-11 13:03:05.347
3.6091,2018-05-14 13:07:48.251
3.6747,2018-05-15 13:10:41.111
3.6797,2018-05-16 13:07:02.298
3.6868,2018-05-17 13:09:31.425
3.7497,2018-05-18 13:12:15.643
3.7066,2018-05-21 13:09:07.719
3.6496,2018-05-22 13:06:52.938
3.6501,2018-05-23 13:04:41.926
3.643,2018-05-24 13:09:05.218
3.6581,2018-05-25 13:03:28.127
3.7086,2018-05-28 13:05:32.428
3.7283,2018-05-29 13:11:25.051
3.7364,2018-05-30 13:07:14.135
3.7407,2018-06-01 13:11:09.438
3.7418,2018-06-04 13:06:45.241
3.7746,2018-06-05 13:05:48.233
3.8187,2018-06-06 13:11:04.605
3.8994,2018-06-07 13:06:42.832
3.7853,2018-06-08 13:03:33.751
3.6907,2018-06-11 13:10:07.939
3.7038,2018-06-12 13:05:43.258
3.7048,2018-06-13 13:09:50.387
3.7051,2018-06-14 13:07:40.823
3.7732,2018-06-15 13:10:44.243
3.7537,2018-06-18 13:16:56.041
3.756,2018-06-19 13:08:33.87
3.7329,2018-06-20 13:02:39.858
3.7888,2018-06-21 13:12:39.986
3.7657,2018-06-22 13:05:00.161
3.7754,2018-06-25 13:11:51.714
3.7715,2018-06-26 13:08:44.171
3.8352,2018-06-27 13:11:08.676
3.8515,2018-06-28 13:09:41.491
3.8552,2018-06-29 13:06:05.757
3.9049,2018-07-02 13:07:52.332
3.8914,2018-07-03 13:05:39.222
3.9052,2018-07-04 13:06:42.67
3.9186,2018-07-05 13:06:52.401
3.9258,2018-07-06 13:09:44.887
3.868,2018-07-09 13:09:10.952
3.8446,2018-07-10 13:04:31.064
3.8411,2018-07-11 13:11:53.869
3.8558,2018-07-12 13:10:41.474
3.8739,2018-07-13 13:05:33.15
3.8573,2018-07-16 13:03:24.854
3.8665,2018-07-17 13:06:37.54
3.8468,2018-07-18 13:11:44.921
3.8841,2018-07-19 13:02:59.77
3.7787,2018-07-20 13:09:32.135
3.7909,2018-07-23 13:02:38.842
3.7453,2018-07-24 13:09:40.168
3.7114,2018-07-25 13:02:39.967
3.7237,2018-07-26 13:09:45.897
3.7158,2018-07-27 13:04:40.24
3.7149,2018-07-30 13:04:31.425
3.7543,2018-07-31 13:02:50.812
3.7485,2018-08-01 13:06:46.973
3.7639,2018-08-02 13:03:31.391
3.7195,2018-08-03 13:03:16.446
3.7208,2018-08-06 13:08:35.35
3.7112,2018-08-07 13:09:41.503
3.7513,2018-08-08 13:07:39.715
3.8024,2018-08-09 13:06:55.349
3.8466,2018-08-10 13:10:35.458
3.8982,2018-08-13 13:07:54.063
3.8806,2018-08-14 13:05:41.66
3.9128,2018-08-15 13:09:36.449
3.8804,2018-08-16 13:08:05.268
3.9383,2018-08-17 13:10:45.204
3.9424,2018-08-20 13:02:32.461
3.9867,2018-08-21 13:10:49.318
4.0734,2018-08-22 13:08:55.232
4.0721,2018-08-23 13:03:04.364
4.0848,2018-08-24 13:05:29.537
4.0681,2018-08-27 13:11:29.584
4.1186,2018-08-28 13:09:34.1
4.1347,2018-08-29 13:11:37.447
4.1806,2018-08-30 13:05:45.618
4.1347,2018-08-31 13:06:41.825
4.1273,2018-09-03 13:06:59.164
4.1646,2018-09-04 13:06:48.156
4.1603,2018-09-05 13:11:36.532
4.1454,2018-09-06 13:06:29.827
4.1001,2018-09-10 13:05:36.914
4.1635,2018-09-11 13:06:44.643
4.1253,2018-09-12 13:07:02.929
4.1631,2018-09-13 13:11:59.661
4.1873,2018-09-14 13:04:41.353
4.1689,2018-09-17 13:05:53.383
4.1363,2018-09-18 13:07:41.609
4.1345,2018-09-19 13:04:39.576
4.0991,2018-09-20 13:08:02.922
4.0722,2018-09-21 13:11:48.093
4.0588,2018-09-24 13:08:22.123
4.128,2018-09-25 13:08:42.299
4.0564,2018-09-26 13:11:54.282
4.0086,2018-09-27 13:04:58.956
4.0033,2018-09-28 13:07:34.405
4.0267,2018-10-01 13:07:35.553
3.9499,2018-10-02 13:07:29.213
3.8536,2018-10-03 13:08:47.363
3.9041,2018-10-04 13:11:46.908
3.8693,2018-10-05 13:07:46.523
3.7582,2018-10-08 13:06:51.493
3.7385,2018-10-09 13:09:38.942
3.7504,2018-10-10 13:10:39.324
3.7454,2018-10-11 13:11:47.128
3.7326,2018-10-15 13:06:02.256
3.7073,2018-10-16 13:03:44.349
3.7002,2018-10-17 13:04:38.631
3.6957,2018-10-18 13:10:50.726
3.7073,2018-10-19 13:03:52.099
3.6897,2018-10-22 13:04:36.909
3.7074,2018-10-23 13:04:41.439
3.7054,2018-10-24 13:02:32.642
3.7008,2018-10-25 13:04:49.424
3.6746,2018-10-26 13:06:35.358
3.6362,2018-10-29 13:05:31.48
3.7013,2018-10-30 13:11:49.725
3.7171,2018-10-31 13:05:55.406
3.6968,2018-11-01 13:12:13.654
3.7042,2018-11-05 13:12:48.801
3.7486,2018-11-06 13:13:20.28
3.7586,2018-11-07 13:11:33.562
3.7385,2018-11-08 13:10:58.479
3.75,2018-11-09 13:02:40.624
3.7472,2018-11-12 13:02:35.562
3.7786,2018-11-13 13:05:09.663
3.7918,2018-11-14 13:02:50.623
3.7519,2018-11-16 13:11:36.848
3.7547,2018-11-19 13:06:48.431
3.7574,2018-11-20 13:08:52.909
3.7866,2018-11-21 13:02:51.548
3.8097,2018-11-22 13:03:42.264
3.8075,2018-11-23 13:03:14.597
3.8649,2018-11-26 13:11:48.575
3.8919,2018-11-27 13:09:42.909
3.8625,2018-11-28 13:03:49.897
3.8562,2018-11-29 13:07:17.073
3.8627,2018-11-30 13:09:33.031
3.8279,2018-12-03 13:12:23.744
3.8307,2018-12-04 13:07:53.025
3.8555,2018-12-05 13:12:37.559
3.9172,2018-12-06 13:09:35.517
3.8958,2018-12-07 13:10:35.035
3.9104,2018-12-10 13:09:51.141
3.9007,2018-12-11 13:09:47.641
3.8623,2018-12-12 13:04:48.141
3.8784,2018-12-13 13:05:17.189
3.9084,2018-12-14 13:06:56.641
3.9115,2018-12-17 13:08:43.268
3.8991,2018-12-18 13:11:50.052
3.8901,2018-12-19 13:04:57.292
3.8437,2018-12-20 13:03:35.898
3.8665,2018-12-21 13:07:13.892
3.8839,2018-12-24 11:05:11.875
3.9252,2018-12-26 13:05:34.012
3.9324,2018-12-27 13:07:19.149
3.8742,2018-12-28 13:03:50.793
3.8742,2018-12-31 11:04:06.627
